COCU001|2|Fundamentos informáticos para la elaboración de material didáctico digital|CT|Manejo de Windows. Conocimientos básicos de Microsoft Office 2000. Conocimientos básicos de HTML y Flash.||Que el alumno aplique los conocimientos de HTML y Flash, así como que conozca las herramientas que proporciona Macromedia Dreamweaver para el desarrollo de material didáctico digital, para el mayor aprovechamiento de los recursos que ofrece la FI, así como el mejor desempeño de las actividades docentes.|I. Introducción a Material Didáctico. II. Lenguaje HTML y Macromedia Flash   Conceptosbásicos de las páginas HTML. Entorno de Flash. Dibujando con Flash. Interpolación en Flash. Máscaras en Flash. Escenas en Flash. Clip de películas en Flash. III. Macromedia Dreamwever   Introducción y requerimientos de instalación. Conociendo el entorno de trabajo. Definición de un sitio local. Creación de un documento. Listas. Tablas. Imágenes. Vínculo. Análisis del código fuente. Macros o Frames. Formularios. Plantillas Hojas de estilo en cascada. El método Refrescar. Meta Tags. Capas y control de eventos. Acciones o comportamientos. Multimedia. Otros elementos.|40.0|Personal Docente y Administrativo de la FI
COCU002|2|Introducción a bases de datos con Access|CT|Manejo de ambiente Windows, nociones de Bases de Datos.|2007-11-30 00:00:00|Que el participante conozca y maneje Microsoft Access para la creación y manipulación de Bases de Datos, además de aplicarlo en sus actividades docentes y académicas, logrando así un mejor aprovechamiento de los recursos que nos ofrece la FI.|I.Introducción a los elementos básicos de Access 2003. II.Operaciones básicas para una Base de Datos. III. Macros básicas.|15.0|Personal docente y administrativo de la FI
COCU003|2|Word avanzado|CT|Manejo de Word básico|2007-11-28 00:00:00|Que el alumno conozca y maneje algunas técnicas avanzadas que le permitan  la creación de documentos con alto nivel de calidad para el mejor aprovechamiento de los recursos que nos ofrece la FI, así como el mejor desempeño en las actividades docentes y académicas.|I. Introducción. II. Base de Datos. III. Combinación de correspondencia. IV. Esquemas de documentos nuevos o existentes. V.Tablas de contenido. VI. Índice alfabético. VII.Notas al pie. VIII.Plantillas. IX.Documento maestro. X. Insertar un gráfico de Word. XI. Desplazarse dentro de un documentos. XII. Combinación de teclas.|10.0|Personal docente y administrativo de la FI
COCU004|2|HTML y Flash 8|CT|Manejo de Windows e Internet.|2007-05-14 00:00:00|El desarrollo de páginas Web utilizando nuevas herramientas que permitan un diseño más adecuado como es la animación basándose en Flash 8, así como el conocimiento de la base para el desarrollo de una página Web utilizando el lenguaje HTML.|I.HTML Introducción. Página HTML. Formato de una página. Listas. Tablas. Ligas o vínculos. Imágenes. Utilerías para la página. Formularios. Marcos. Texto en movimiento. II.Flash 8 Introducción, Dibujar con flash. Capas. Símbolos. Instancias y bibliotecas. Conceptos básicos de animación. Animación fotograma a fotograma. Interpolación de movimiento. Interpolación con capa guía. Interpolación de forma. Importar imagen. Máscaras. Efecto alpha. Escenas. Punto de registro. Clip de película. Botones. Cambio del puntero del mouse. Arrastre de objetos. Publicación de películas. Incluir películas en páginas Web.|20.0|Personal académico y administrativo de la FI.
COCU005|2|Excel avanzado|CT|Excel básico.||Que el alumno conozca y maneje algunas técnicas avanzadas con la finalidad de presentar los conceptos generales de las Bases de Datos, filtros (filtros avanzados), subtotales, funciones avanzadas, así como la generación de tablas y gráficos dinámicos y macros|Excel avanzado|20.0|Personal Académico y Administrativo de la FI
COCU006|2|Macros en Excel|CT|Manejo de Excel, Visual Basic.||Que el alumno conozca y  pueda crear las macros en Excel utilizando la herramienta de Visual Basic para aplicaciones.|Excel y Visual Basic.|30.0|Personal docente y administrativo de la FI.
COCU007|2|Visio 2003|CT|Manejo de Windows||Al finalizar el curso, el alumno sabrá trabajar en el entorno de Visio 2003 para desarrollar de una manera más simple y sencilla los diagramas que requiera en su práctica docente|I.- Definición de diagramación.  II.- Tipos de diagramas  III.- Nomenclatura de los diferentes tipos de diagramas. IV.- Entorno de Visio 2003. V.- Elaboración de diferentes tipos de diagramas en Visio 2003.|9.0|Personal docente y administrativo de la FI
COCU008|2|Visual Basic 6.0|CT|||||20.0|
COCU009|2|Introducción a Java|CT|||||21.0|
COCU010|2|eXe-learning|CT|||||12.0|
